Time,V1,V2,V3,V4,V5
13.9500,4.0419,0.3219,0.2392,4.3123,8.6365
14.0000,2.1766,-0.6144,0.5950,4.6856,9.1986
14.0500,-0.0862,-0.6322,0.8223,5.1964,9.2140
14.1000,-2.1936,0.2438,1.0998,5.7541,8.5816
14.1500,-3.6997,1.5712,1.8471,6.3451,7.2397
14.2000,-4.4966,2.6264,3.2892,6.9081,5.1089
14.2500,-4.6571,2.7715,5.1113,7.1247,2.2047
14.3000,-4.1610,1.8723,6.5860,6.6282,-1.0241
14.3500,-2.9785,0.5213,7.2304,5.4477,-3.7272
14.4000,-1.3859,-0.3750,7.2799,3.9256,-5.3338
14.4500,0.0508,-0.3573,7.2344,2.2696,-5.8842
14.5000,0.8421,0.3782,7.2629,0.4986,-5.6675
14.5500,0.8699,1.3096,7.2362,-1.3184,-4.8707
14.6000,0.4312,2.0095,7.0367,-2.9361,-3.5570
14.6500,0.0453,2.4035,6.6736,-4.0598,-1.8403
14.7000,0.1333,2.6900,6.1907,-4.5597,0.0002
14.7500,0.8256,3.0496,5.5779,-4.5304,1.6105
14.8000,2.0047,3.4827,4.7767,-4.1853,2.7363
14.8500,3.4387,3.8536,3.7343,-3.7203,3.2977
14.9000,4.8791,3.9968,2.4676,-3.2374,3.3521
14.9500,6.1180,3.7996,1.1058,-2.7505,3.0370
15.0000,7.0351,3.2506,-0.1334,-2.2434,2.5349
15.0500,7.6220,2.4411,-1.0384,-1.7272,2.0330
15.1000,7.9518,1.5163,-1.4940,-1.2447,1.6681
15.1500,8.1143,0.6177,-1.4992,-0.8318,1.4961
15.2000,8.1718,-0.1467,-1.1303,-0.4830,1.5110
15.2500,8.1524,-0.7121,-0.4997,-0.1497,1.6877
15.3000,8.0596,-1.0613,0.2708,0.2340,2.0090
15.3500,7.8785,-1.2238,1.0707,0.7264,2.4671
15.4000,7.5759,-1.2640,1.8174,1.3669,3.0516
15.4500,7.0945,-1.2558,2.4628,2.1804,3.7359
15.5000,6.3512,-1.2531,2.9819,3.1802,4.4607
15.5500,5.2534,-1.2610,3.3536,4.3568,5.1118
15.6000,3.7569,-1.2217,3.5518,5.6495,5.5029
15.6500,1.9665,-1.0419,3.5792,6.9240,5.3973
15.7000,0.1989,-0.6838,3.5246,8.0046,4.6045
15.7500,-1.1092,-0.2587,3.5432,8.7549,3.1088
15.8000,-1.6094,0.0359,3.7143,9.1101,1.1351
15.8500,-1.1848,0.1598,3.9779,9.0520,-0.8921
15.9000,-0.0020,0.3686,4.2846,8.5955,-2.5175
15.9500,1.5120,1.0276,4.6960,7.7512,-3.4983
16.0000,2.8309,2.3119,5.2339,6.4619,-3.8987
16.0500,3.5445,4.0869,5.7119,4.6267,-3.9304
16.1000,3.4715,5.9582,5.7820,2.2782,-3.7238
16.1500,2.7139,7.4450,5.1794,-0.2147,-3.2687
16.2000,1.6610,8.2843,3.9652,-2.2520,-2.5666
16.2500,0.7741,8.5898,2.4652,-3.4236,-1.7647
16.3000,0.2903,8.6404,0.9980,-3.7079,-1.0737
16.3500,0.1792,8.6218,-0.2431,-3.2998,-0.6051
16.4000,0.3074,8.5877,-1.1500,-2.4269,-0.3171
16.4500,0.5803,8.5318,-1.6673,-1.3020,-0.0794
16.5000,0.9706,8.4366,-1.8054,-0.1232,0.2301
16.5500,1.4820,8.2847,-1.6488,0.9480,0.6729
16.6000,2.1130,8.0560,-1.3319,1.8199,1.2567
16.6500,2.8460,7.7184,-0.9947,2.4782,1.9709
16.7000,3.6461,7.2170,-0.7421,2.9620,2.8133
16.7500,4.4505,6.4685,-0.6163,3.3249,3.7936
16.8000,5.1434,5.3789,-0.5847,3.5998,4.9154
16.8500,5.5342,3.9059,-0.5455,3.7908,6.1401
16.9000,5.3758,2.1618,-0.3759,3.9120,7.3561
16.9500,4.4616,0.4762,-0.0380,4.0452,8.3943
17.0000,2.7719,-0.6966,0.3404,4.3100,9.0856
17.0500,0.5762,-0.9939,0.5830,4.7270,9.2949
17.1000,-1.6091,-0.3318,0.7546,5.2058,8.9333
17.1500,-3.2808,0.9876,1.2369,5.7184,7.9617
17.2000,-4.2479,2.3337,2.3874,6.2866,6.3247
17.2500,-4.6079,3.0287,4.1463,6.7313,3.9433
17.3000,-4.4483,2.6908,5.9620,6.6554,0.9605
17.3500,-3.7209,1.5102,7.1580,5.8349,-2.0030
17.4000,-2.4735,0.2239,7.5510,4.4845,-4.1831
17.4500,-1.0492,-0.4472,7.5322,2.9457,-5.2839
17.5000,0.0780,-0.3120,7.4980,1.3591,-5.4764
17.5500,0.6117,0.3423,7.5167,-0.2511,-5.0122
17.6000,0.5890,1.0903,7.4763,-1.7828,-4.0299
17.6500,0.3336,1.6711,7.3013,-3.0201,-2.6168
17.7000,0.2514,2.0953,6.9923,-3.7672,-0.9426
17.7500,0.6054,2.5106,6.5574,-3.9872,0.7151
17.8000,1.4357,3.0047,5.9672,-3.8072,2.0828
17.8500,2.6265,3.5340,5.1651,-3.4194,3.0051
17.9000,3.9998,3.9664,4.1063,-2.9747,3.4622
17.9500,5.3688,4.1436,2.8120,-2.5338,3.5235
18.0000,6.5666,3.9388,1.4153,-2.0862,3.3089
18.0500,7.4820,3.3120,0.1497,-1.6147,2.9735
18.1000,8.0883,2.3377,-0.7414,-1.1477,2.6743
18.1500,8.4243,1.1798,-1.1068,-0.7418,2.5128
18.2000,8.5457,0.0367,-0.9265,-0.4131,2.5140
18.2500,8.4922,-0.9138,-0.2935,-0.0947,2.6660
18.3000,8.2786,-1.5658,0.6225,0.3340,2.9672
18.3500,7.8897,-1.9130,1.6225,0.9834,3.4265
18.4000,7.2731,-2.0328,2.5314,1.9112,4.0270
18.4500,6.3405,-2.0294,3.2290,3.1165,4.6914
18.5000,5.0003,-1.9649,3.6461,4.5377,5.2592
18.5500,3.2450,-1.8195,3.7539,6.0360,5.4898
18.6000,1.2722,-1.5262,3.5956,7.4018,5.1291
18.6500,-0.4972,-1.0872,3.3279,8.4383,4.0526
18.7000,-1.6089,-0.6494,3.1441,9.0636,2.3784
18.7500,-1.8074,-0.3782,3.1152,9.3016,0.4477
18.8000,-1.1130,-0.2329,3.1931,9.2126,-1.2987
18.8500,0.2051,0.0525,3.3726,8.8576,-2.5055
18.9000,1.7202,0.7477,3.7266,8.2622,-3.0680
18.9500,3.0247,1.9412,4.2717,7.3824,-3.1355
19.0000,3.8746,3.5402,4.8757,6.1187,-2.9523
19.0500,4.1965,5.3356,5.2749,4.3994,-2.6824
19.1000,4.0377,7.0433,5.1585,2.3298,-2.3452
19.1500,3.5634,8.3823,4.3289,0.2936,-1.9051
19.2000,3.0272,9.2161,2.8625,-1.1887,-1.4189
19.2500,2.6228,9.5971,1.1003,-1.7692,-1.0258
19.3000,2.3951,9.6598,-0.5206,-1.4247,-0.7656
19.3500,2.3384,9.5216,-1.6513,-0.3969,-0.4952
19.4000,2.4872,9.2508,-2.1572,0.9346,-0.0209
19.4500,2.8755,8.8609,-2.1363,2.2075,0.7486
19.5000,3.4776,8.3162,-1.8216,3.2057,1.7918
19.5500,4.2051,7.5419,-1.4458,3.8829,3.0483
19.6000,4.9136,6.4382,-1.1424,4.2914,4.4639
19.6500,5.3854,4.9339,-0.9100,4.4997,5.9714
19.7000,5.3322,3.1006,-0.6475,4.5707,7.4441
19.7500,4.4920,1.2611,-0.2738,4.6069,8.6898
19.8000,2.8109,-0.0725,0.1443,4.7509,9.5123
19.8500,0.5792,-0.4615,0.4678,5.0657,9.7679
19.9000,-1.6356,0.1931,0.7823,5.5019,9.3739
19.9500,-3.3051,1.5266,1.4847,6.0427,8.2835
20.0000,-4.2553,2.8167,2.9120,6.6621,6.4095
20.0500,-4.5891,3.3247,4.9158,7.0683,3.6654
20.1000,-4.3504,2.6949,6.8082,6.7755,0.3191
20.1500,-3.4740,1.2803,7.8813,5.6246,-2.7820
20.2000,-2.1086,-0.0190,8.1182,3.9764,-4.8144
20.2500,-0.7270,-0.5325,8.0418,2.2157,-5.6277
20.3000,0.1882,-0.2590,8.0031,0.4709,-5.5049
20.3500,0.4674,0.3856,7.9958,-1.1938,-4.7067
20.4000,0.3204,1.0000,7.9118,-2.6029,-3.3738
20.4500,0.1661,1.4565,7.7124,-3.5265,-1.6648
20.5000,0.3569,1.8651,7.4046,-3.8542,0.1452
20.5500,1.0134,2.3561,6.9765,-3.6727,1.7422
20.6000,2.0605,2.9429,6.3848,-3.1933,2.9211
20.6500,3.3468,3.5333,5.5748,-2.6259,3.6418
20.7000,4.7213,3.9841,4.5138,-2.0925,3.9769
20.7500,6.0475,4.1351,3.2372,-1.6121,4.0417
20.8000,7.2004,3.8464,1.8927,-1.1471,3.9644
20.8500,8.0806,3.0585,0.7314,-0.6776,3.8815
20.9000,8.6303,1.8432,0.0199,-0.2356,3.9076
20.9500,8.8241,0.4051,-0.0748,0.1540,4.0921
21.0000,8.6436,-0.9817,0.4426,0.5715,4.4309
21.0500,8.0549,-2.0865,1.3807,1.2113,4.9174
21.1000,6.9818,-2.8172,2.4072,2.2644,5.5282
21.1500,5.3096,-3.2031,3.1497,3.7682,6.1257
21.2000,3.0054,-3.2737,3.3139,5.5104,6.4049
21.2500,0.3460,-2.9802,2.8298,7.0680,6.0224
21.3000,-2.0432,-2.3104,1.9794,8.0809,4.8765
21.3500,-3.5830,-1.4624,1.2459,8.5433,3.1999
21.4000,-4.0962,-0.7700,0.9107,8.6907,1.3424
21.4500,-3.7100,-0.4254,0.9056,8.7009,-0.3946
21.5000,-2.6453,-0.3358,1.0371,8.6305,-1.7557
21.5500,-1.1715,-0.2363,1.2237,8.4941,-2.5547
21.6000,0.3943,0.0940,1.5116,8.2968,-2.7513
21.6500,1.7688,0.7171,1.9563,8.0276,-2.4709
21.7000,2.7999,1.5767,2.5523,7.6590,-1.9328
21.7500,3.4828,2.5909,3.2433,7.1500,-1.3490
21.8000,3.9017,3.7041,3.9461,6.4459,-0.8554
21.8500,4.1593,4.8842,4.5455,5.4895,-0.4870
21.9000,4.3397,6.0897,4.8781,4.2626,-0.1892
21.9500,4.5167,7.2378,4.7411,2.8559,0.1336
22.0000,4.7802,8.1954,3.9582,1.5161,0.5362
22.0500,5.2187,8.7935,2.4940,0.5922,0.9766
22.1000,5.8454,8.8431,0.5534,0.3736,1.3978
22.1500,6.5862,8.1565,-1.4350,0.8932,1.9154
22.2000,7.3389,6.5734,-3.0184,1.7923,2.8256
22.2500,7.9018,4.0073,-3.9193,2.3993,4.2564
22.3000,7.8906,0.6738,-3.9819,2.1421,5.8136
22.3500,7.0414,-2.6437,-3.0967,1.1330,6.8336
22.4000,5.5138,-5.0151,-1.4689,0.2454,7.1685
22.4500,3.5800,-6.1315,0.2027,0.2586,7.2503
22.5000,1.3380,-6.2382,1.1372,1.1381,7.3299
22.5500,-1.0735,-5.5803,1.0223,2.2258,7.2662
22.6000,-3.2570,-4.2140,0.2139,2.8915,6.9345
22.6500,-4.7535,-2.2477,-0.5199,3.0537,6.4167
22.7000,-5.3913,-0.0611,-0.5555,3.0794,5.8170
22.7500,-5.3357,1.8334,0.2542,3.2639,5.1231
22.8000,-4.8943,3.0804,1.6841,3.5821,4.2493
22.8500,-4.3250,3.5920,3.3717,3.8247,3.1357
22.9000,-3.7550,3.4772,4.9721,3.7974,1.8316
22.9500,-3.2037,2.9427,6.2435,3.4272,0.5146
23.0000,-2.6553,2.2266,7.0956,2.7808,-0.5850
23.0500,-2.1107,1.5419,7.5792,2.0098,-1.3050
23.1000,-1.5916,1.0292,7.8167,1.2647,-1.6107
23.1500,-1.1181,0.7451,7.9236,0.6408,-1.5649
23.2000,-0.6943,0.6863,7.9715,0.1739,-1.2684
23.2500,-0.3072,0.8234,7.9906,-0.1417,-0.8181
23.3000,0.0662,1.1230,7.9843,-0.3362,-0.2902
23.3500,0.4534,1.5583,7.9414,-0.4517,0.2639
23.4000,0.8843,2.1100,7.8397,-0.5342,0.8153
23.4500,1.3926,2.7638,7.6431,-0.6260,1.3521
23.5000,2.0174,3.5024,7.2942,-0.7580,1.8700
23.5500,2.8016,4.2917,6.7088,-0.9393,2.3588
23.6000,3.7778,5.0575,5.7810,-1.1457,2.7848
23.6500,4.9365,5.6562,4.4204,-1.3068,3.0847
23.7000,6.1843,5.8684,2.6425,-1.3111,3.1942
23.7500,7.3451,5.4600,0.6744,-1.0650,3.1289
23.8000,8.2462,4.3126,-1.0566,-0.6087,3.0389
23.8500,8.8032,2.5225,-2.1180,-0.1643,3.0985
23.9000,8.9963,0.4056,-2.2652,0.0401,3.3174
23.9500,8.8323,-1.5766,-1.4948,0.0487,3.5719
24.0000,8.3474,-3.0054,-0.0577,0.2077,3.8321
24.0500,7.5628,-3.7300,1.5820,0.8756,4.2019
24.1000,6.4248,-3.8972,2.9351,2.1600,4.7135
24.1500,4.8370,-3.7609,3.6819,3.8945,5.1941
24.2000,2.8015,-3.4762,3.7221,5.7330,5.3347
24.2500,0.5843,-3.0532,3.1591,7.2768,4.8795
24.3000,-1.3220,-2.4812,2.2851,8.2715,3.8240
24.3500,-2.5047,-1.8485,1.4579,8.7433,2.4268
24.4000,-2.8594,-1.2948,0.8976,8.8945,1.0184
24.4500,-2.5267,-0.8858,0.6316,8.9060,-0.1532
24.5000,-1.7382,-0.5749,0.5995,8.8659,-0.9502
24.5500,-0.7324,-0.2657,0.7514,8.7989,-1.3333
24.6000,0.2834,0.1151,1.0676,8.7031,-1.3529
24.6500,1.1673,0.5929,1.5377,8.5674,-1.1281
24.7000,1.8605,1.1645,2.1466,8.3744,-0.8073
24.7500,2.3776,1.8278,2.8740,8.0925,-0.5265
24.8000,2.7740,2.5987,3.6925,7.6628,-0.3777
24.8500,3.1067,3.5093,4.5526,6.9887,-0.3907
24.9000,3.3983,4.5903,5.3535,5.9462,-0.5213
24.9500,3.6219,5.8310,5.9075,4.4416,-0.6506
25.0000,3.7405,7.1308,5.9396,2.5318,-0.6205
25.0500,3.7998,8.3001,5.1784,0.5386,-0.3440
25.1000,3.9468,9.1425,3.5317,-1.0120,0.0599
25.1500,4.2580,9.5210,1.2267,-1.6465,0.3234
25.2000,4.6328,9.3626,-1.1938,-1.1728,0.3775
25.2500,5.0031,8.6664,-3.1121,0.2011,0.5784
25.3000,5.4594,7.4405,-4.2223,1.8785,1.4112
25.3500,5.9851,5.6072,-4.6427,3.1342,3.0186
25.4000,6.2592,3.1080,-4.6223,3.4551,5.0493
25.4500,5.8857,0.2188,-4.2424,2.7395,6.8348
25.5000,4.8167,-2.3725,-3.4575,1.3875,7.8439
25.5500,3.3982,-4.0662,-2.3493,0.1065,8.1074
25.6000,1.9688,-4.7668,-1.1954,-0.5839,8.0446
25.6500,0.6463,-4.6987,-0.2943,-0.6092,7.9795
25.7000,-0.5536,-4.0936,0.2124,-0.1940,7.9769
25.7500,-1.5811,-3.0977,0.3898,0.3870,7.9687
25.8000,-2.3364,-1.8276,0.4453,0.9701,7.8881
25.8500,-2.7397,-0.4346,0.6088,1.5344,7.7038
25.9000,-2.7995,0.8988,1.0293,2.1308,7.3965
25.9500,-2.6145,2.0172,1.7466,2.7919,6.9342
26.0000,-2.3185,2.8404,2.7258,3.4905,6.2651
26.0500,-2.0131,3.3597,3.8970,4.1370,5.3274
26.1000,-1.7272,3.6065,5.1667,4.5877,4.0860
26.1500,-1.4207,3.6356,6.4118,4.6655,2.5975
26.2000,-1.0426,3.5412,7.4927,4.2173,1.0649
26.2500,-0.6113,3.4588,8.2974,3.1997,-0.1955
26.3000,-0.2242,3.4998,8.7723,1.7337,-0.8844
26.3500,0.0562,3.6834,8.9045,0.0891,-0.8470
26.4000,0.3313,3.9780,8.6952,-1.4014,-0.1284
26.4500,0.8424,4.3889,8.1403,-2.4856,1.0279
26.5000,1.8016,4.9350,7.1955,-3.1031,2.2497
26.5500,3.2463,5.5289,5.7619,-3.3545,3.1661
26.6000,4.9905,5.9148,3.7670,-3.3528,3.5150
26.6500,6.6612,5.7608,1.3560,-3.1084,3.2166
26.7000,7.8796,4.8926,-0.9921,-2.5850,2.4532
26.7500,8.5274,3.4533,-2.7017,-1.8684,1.6233
26.8000,8.7710,1.7773,-3.4812,-1.1890,1.0631
26.8500,8.8207,0.1822,-3.3778,-0.7352,0.8384
26.9000,8.7851,-1.0927,-2.5970,-0.5002,0.8382
26.9500,8.6971,-1.8903,-1.3940,-0.3201,0.9698
27.0000,8.5624,-2.1675,-0.0454,-0.0215,1.2268
27.0500,8.3731,-2.0111,1.2008,0.4744,1.6354
27.1000,8.1107,-1.5964,2.1931,1.1552,2.1982
27.1500,7.7442,-1.1147,2.8991,1.9773,2.8856
27.2000,7.2229,-0.7108,3.3724,2.9126,3.6481
27.2500,6.4715,-0.4496,3.6950,3.9572,4.4116
27.3000,5.4074,-0.3070,3.9321,5.1093,5.0541
27.3500,4.0015,-0.1837,4.1197,6.3324,5.3840
27.4000,2.3725,0.0387,4.2963,7.5233,5.1579
27.4500,0.8410,0.3948,4.5468,8.5178,4.1755
27.5000,-0.1602,0.7756,4.9656,9.1270,2.4271
27.5500,-0.2994,1.0672,5.5449,9.1676,0.2048
27.6000,0.4380,1.4173,6.1927,8.4923,-1.9558
27.6500,1.6252,2.2184,6.8570,6.9987,-3.5689
27.7000,2.5115,3.6729,7.4224,4.6051,-4.4478
27.7500,2.4403,5.4021,7.5342,1.4147,-4.5759
27.8000,1.3833,6.6439,6.8696,-1.9454,-3.8780
27.8500,0.1306,7.0569,5.5500,-4.5408,-2.3976
27.9000,-0.3773,7.0457,3.9049,-5.9181,-0.6086
27.9500,0.1272,7.0582,2.0561,-6.2554,0.7656
28.0000,1.2095,7.0914,0.0094,-5.8672,1.2380
28.0500,2.2080,6.9468,-2.0601,-4.8854,0.8427
28.1000,2.7448,6.5738,-3.7745,-3.3403,0.0948
28.1500,2.9305,6.0603,-4.8190,-1.4044,-0.3488
28.2000,3.0893,5.4581,-5.1563,0.5409,-0.0970
28.2500,3.3804,4.7266,-4.9805,2.0925,0.8544
28.3000,3.7195,3.7902,-4.5453,3.0213,2.2652
28.3500,3.9197,2.6206,-4.0319,3.3051,3.8189
28.4000,3.8329,1.2994,-3.5096,3.0636,5.2282
28.4500,3.4234,0.0163,-2.9742,2.4933,6.3049
28.5000,2.7702,-1.0160,-2.4140,1.8176,7.0001
28.5500,2.0098,-1.6658,-1.8473,1.2300,7.3842
28.6000,1.2642,-1.9156,-1.3130,0.8462,7.5751
28.6500,0.6080,-1.8250,-0.8427,0.6982,7.6696
28.7000,0.0737,-1.4798,-0.4421,0.7636,7.7191
28.7500,-0.3319,-0.9630,-0.0898,1.0013,7.7372
28.8000,-0.6182,-0.3452,0.2530,1.3753,7.7164
28.8500,-0.8069,0.3159,0.6312,1.8620,7.6380
28.9000,-0.9304,0.9761,1.0883,2.4475,7.4733
28.9500,-1.0257,1.6035,1.6650,3.1191,7.1790
29.0000,-1.1239,2.1733,2.3976,3.8521,6.6906
29.0500,-1.2343,2.6573,3.3122,4.5911,5.9221
29.1000,-1.3279,3.0131,4.4052,5.2264,4.7865
29.1500,-1.3291,3.1934,5.6120,5.5795,3.2579
29.2000,-1.1462,3.1942,6.7936,5.4338,1.4650
29.2500,-0.7589,3.1155,7.7837,4.6300,-0.2682
29.3000,-0.3000,3.1243,8.4712,3.1725,-1.5337
29.3500,0.0134,3.3001,8.8148,1.2686,-2.0279
29.4000,0.1111,3.5688,8.8038,-0.7056,-1.6511
29.4500,0.2118,3.8543,8.4523,-2.3285,-0.5328
29.5000,0.6717,4.2075,7.7819,-3.3406,0.9708
29.5500,1.7055,4.6937,6.7630,-3.7635,2.3900
29.6000,3.2620,5.2171,5.3045,-3.7981,3.3335
29.6500,5.0617,5.5061,3.3583,-3.6200,3.5994
29.7000,6.7010,5.2642,1.0995,-3.2683,3.1975
29.7500,7.8446,4.3910,-1.0176,-2.7188,2.3641
29.8000,8.4297,3.0718,-2.5096,-2.0337,1.4828
29.8500,8.6381,1.6219,-3.1690,-1.3761,0.8562
29.9000,8.6773,0.3021,-3.0738,-0.8790,0.5636
29.9500,8.6563,-0.7236,-2.4235,-0.5485,0.5335
30.0000,8.6044,-1.3683,-1.4384,-0.2876,0.6818
30.0500,8.5190,-1.6212,-0.3303,0.0183,0.9723
30.1000,8.3883,-1.5507,0.7222,0.4377,1.4011
30.1500,8.1947,-1.2835,1.6062,0.9867,1.9647
30.2000,7.9110,-0.9619,2.2878,1.6578,2.6474
30.2500,7.4896,-0.7031,2.7950,2.4485,3.4201
30.3000,6.8533,-0.5694,3.1803,3.3714,4.2331
30.3500,5.9014,-0.5518,3.4831,4.4416,4.9941
30.4000,4.5543,-0.5667,3.7092,5.6453,5.5391
30.4500,2.8488,-0.4839,3.8522,6.9002,5.6282
30.5000,1.0383,-0.2146,3.9589,8.0481,5.0123
30.5500,-0.4320,0.1725,4.1511,8.9074,3.5766
30.6000,-1.1207,0.4738,4.5060,9.3270,1.4782
30.6500,-0.8101,0.6185,4.9557,9.2013,-0.8273
30.7000,0.3511,0.8944,5.4272,8.4842,-2.7701
30.7500,1.8268,1.7417,5.9588,7.1471,-4.0106
30.8000,2.9044,3.3065,6.4917,5.1083,-4.5769
30.8500,3.0401,5.2207,6.6908,2.3632,-4.6208
30.9000,2.1570,6.7819,6.1943,-0.6897,-4.1537
30.9500,0.7866,7.5239,5.0328,-3.2742,-3.1382
31.0000,-0.2641,7.6260,3.5597,-4.8445,-1.7664
31.0500,-0.5360,7.5587,2.0245,-5.4060,-0.4668
31.1000,-0.1180,7.5538,0.4769,-5.2157,0.3697
31.1500,0.6059,7.5606,-1.0445,-4.4711,0.6212
31.2000,1.2832,7.4704,-2.3876,-3.2701,0.4763
31.2500,1.7933,7.2458,-3.3432,-1.7287,0.3054
31.3000,2.2269,6.8937,-3.7935,-0.0676,0.4426
31.3500,2.7072,6.4032,-3.7881,1.4366,1.0331
31.4000,3.2549,5.7289,-3.4918,2.5737,2.0361
31.4500,3.7808,4.8140,-3.0787,3.2632,3.3107
31.5000,4.1366,3.6351,-2.6518,3.5319,4.6844
31.5500,4.1688,2.2576,-2.2271,3.4688,5.9842
31.6000,3.7757,0.8663,-1.7789,3.2052,7.0645
31.6500,2.9604,-0.2800,-1.3087,2.8992,7.8459
31.7000,1.8411,-0.9585,-0.8692,2.6868,8.3288
31.7500,0.6117,-1.0670,-0.5108,2.6300,8.5586
31.8000,-0.5175,-0.6374,-0.2083,2.7263,8.5806
31.8500,-1.3815,0.1907,0.1502,2.9657,8.4209
31.9000,-1.9129,1.2123,0.7014,3.3584,8.0785
31.9500,-2.1529,2.2150,1.5388,3.9054,7.5154
32.0000,-2.2061,3.0329,2.6851,4.5525,6.6528
32.0500,-2.1637,3.5617,4.0911,5.1595,5.3928
32.1000,-2.0409,3.7498,5.6252,5.4962,3.6944
